Event_Name,Rating,Organization,Content,Speaker,Feedback
Cultural Fest,2,5,1,4,Poor organization and timing issues
Cultural Fest,4,2,2,3,Very well managed and insightful
Cultural Fest,5,3,2,1,"Amazing experience, learned a lot"
Tech Fest,5,1,4,3,Excellent organization and great speakers
Hackathon,4,1,2,5,Excellent organization and great speakers
Hackathon,5,4,4,1,Very well managed and insightful
Tech Fest,5,3,5,2,Excellent organization and great speakers
Cultural Fest,4,3,3,2,The event was very informative and engaging
Cultural Fest,5,1,1,3,"Amazing experience, learned a lot"
Hackathon,2,2,3,4,The event was boring
Hackathon,4,1,2,2,Excellent organization and great speakers
Tech Fest,3,5,5,2,Content was average
AI Workshop,5,5,5,1,The event was very informative and engaging
Tech Fest,4,1,1,4,The event was very informative and engaging
Hackathon,5,2,2,1,The event was very informative and engaging
Guest Lecture,5,5,2,4,The event was very informative and engaging
AI Workshop,3,1,1,4,The event was okay
Guest Lecture,5,2,3,4,Excellent organization and great speakers
Cultural Fest,5,4,3,2,The event was very informative and engaging
Guest Lecture,4,4,2,1,The event was very informative and engaging
AI Workshop,3,2,4,3,The event was okay
Cultural Fest,4,1,3,3,The event was very informative and engaging
Tech Fest,4,1,1,1,"It was fine, nothing special"
AI Workshop,2,4,5,3,The speaker was not engaging
AI Workshop,2,2,1,4,Poor organization and timing issues
Hackathon,5,4,4,2,Very well managed and insightful
Tech Fest,4,4,5,4,The event was very informative and engaging
Guest Lecture,3,4,3,5,Decent event overall
Hackathon,5,1,4,4,Excellent organization and great speakers
Tech Fest,5,5,5,5,Loved the content and interaction
Hackathon,4,2,4,3,Loved the content and interaction
Guest Lecture,3,5,1,1,Decent event overall
Hackathon,4,2,1,4,Content was average
Tech Fest,5,5,2,5,Loved the content and interaction
Tech Fest,3,4,4,5,Decent event overall
AI Workshop,5,1,4,1,Very well managed and insightful
Guest Lecture,4,5,1,1,Very well managed and insightful
Guest Lecture,4,5,2,4,Could be better
Cultural Fest,1,4,3,5,Audio and seating arrangements were bad
AI Workshop,4,4,1,1,Could be better
AI Workshop,3,3,3,5,Content was average
Cultural Fest,4,4,2,4,The event was very informative and engaging
Cultural Fest,4,1,4,2,"Amazing experience, learned a lot"
Tech Fest,5,4,1,5,Excellent organization and great speakers
Guest Lecture,5,5,2,4,Very well managed and insightful
Guest Lecture,5,4,5,2,The event was very informative and engaging
Tech Fest,3,4,5,5,Content was average
Hackathon,2,5,2,3,Not worth attending
Hackathon,5,2,2,4,Loved the content and interaction
Guest Lecture,4,3,5,2,Could be better
AI Workshop,5,2,2,5,"Amazing experience, learned a lot"
AI Workshop,4,5,4,5,Loved the content and interaction
Hackathon,5,1,5,1,Very well managed and insightful
Tech Fest,4,2,3,2,Excellent organization and great speakers
Tech Fest,1,3,2,5,Audio and seating arrangements were bad
Guest Lecture,4,5,2,5,Very well managed and insightful
Tech Fest,5,4,4,4,"Amazing experience, learned a lot"
Tech Fest,1,3,2,5,Audio and seating arrangements were bad
AI Workshop,1,5,5,5,The event was boring
Hackathon,5,2,1,2,Excellent organization and great speakers
Hackathon,1,1,4,3,Not worth attending
Guest Lecture,4,3,1,3,Excellent organization and great speakers
Cultural Fest,4,3,5,1,Excellent organization and great speakers
Hackathon,4,5,5,3,Could be better
Cultural Fest,4,5,1,5,Loved the content and interaction
Tech Fest,5,3,2,2,"Amazing experience, learned a lot"
AI Workshop,4,2,5,5,"It was fine, nothing special"
Tech Fest,4,3,4,2,"Amazing experience, learned a lot"
Tech Fest,1,3,4,1,Not worth attending
Tech Fest,5,5,3,5,"Amazing experience, learned a lot"
Tech Fest,4,3,2,3,Decent event overall
Guest Lecture,4,5,1,1,The event was very informative and engaging
Tech Fest,5,2,5,4,Excellent organization and great speakers
Tech Fest,3,4,3,1,The event was okay
AI Workshop,4,5,1,5,The event was very informative and engaging
Hackathon,4,4,4,4,"It was fine, nothing special"
Guest Lecture,4,1,5,1,Very well managed and insightful
Tech Fest,3,3,5,1,Could be better
AI Workshop,4,4,4,4,Loved the content and interaction
Cultural Fest,4,5,2,2,The event was okay
Cultural Fest,4,3,3,1,Could be better
Tech Fest,4,1,1,5,"Amazing experience, learned a lot"
AI Workshop,4,2,3,2,"Amazing experience, learned a lot"
Cultural Fest,4,2,2,5,"Amazing experience, learned a lot"
Cultural Fest,3,5,1,5,Content was average
AI Workshop,4,1,3,1,"Amazing experience, learned a lot"
AI Workshop,5,3,2,2,"Amazing experience, learned a lot"
Cultural Fest,4,3,4,4,"Amazing experience, learned a lot"
Guest Lecture,4,5,3,3,Loved the content and interaction
AI Workshop,1,2,2,4,The speaker was not engaging
AI Workshop,4,4,4,4,Loved the content and interaction
Guest Lecture,5,1,2,5,Loved the content and interaction
Guest Lecture,4,2,3,1,Loved the content and interaction
Guest Lecture,3,5,4,5,The event was okay
Guest Lecture,5,5,4,2,The event was very informative and engaging
Cultural Fest,5,4,5,5,Excellent organization and great speakers
Cultural Fest,4,5,2,5,Loved the content and interaction
Guest Lecture,4,5,2,4,Excellent organization and great speakers
Hackathon,1,2,1,3,Poor organization and timing issues
Guest Lecture,4,3,4,4,The event was very informative and engaging
AI Workshop,1,1,5,3,Poor organization and timing issues
Hackathon,3,4,3,5,"It was fine, nothing special"
Hackathon,4,2,5,4,The event was okay
Hackathon,5,5,1,5,Loved the content and interaction
Cultural Fest,1,1,5,3,The event was boring
AI Workshop,4,5,1,2,Excellent organization and great speakers
Hackathon,4,4,4,2,Loved the content and interaction
Cultural Fest,4,1,2,5,Very well managed and insightful
Guest Lecture,4,2,1,2,Excellent organization and great speakers
Guest Lecture,5,5,1,3,Excellent organization and great speakers
Guest Lecture,2,4,4,2,The speaker was not engaging
Guest Lecture,4,2,5,5,Very well managed and insightful
Guest Lecture,5,5,1,2,Loved the content and interaction
Tech Fest,4,2,5,5,Excellent organization and great speakers
Cultural Fest,3,4,5,5,Content was average
Tech Fest,4,4,2,5,"Amazing experience, learned a lot"
Guest Lecture,5,4,3,1,The event was very informative and engaging
Hackathon,3,4,3,5,Decent event overall
Hackathon,3,2,3,4,Could be better
Guest Lecture,4,5,4,3,The event was okay
Guest Lecture,4,1,4,2,The event was very informative and engaging
AI Workshop,4,1,2,4,"It was fine, nothing special"
Guest Lecture,4,4,5,3,"It was fine, nothing special"
Hackathon,3,5,5,4,Decent event overall
AI Workshop,5,3,5,3,"Amazing experience, learned a lot"
Tech Fest,3,2,4,2,Decent event overall
AI Workshop,5,5,5,1,"Amazing experience, learned a lot"
Cultural Fest,4,4,5,4,The event was very informative and engaging
AI Workshop,4,1,5,1,Loved the content and interaction
Guest Lecture,4,1,2,4,Decent event overall
Cultural Fest,5,1,5,5,Excellent organization and great speakers
Tech Fest,4,3,2,1,Excellent organization and great speakers
Hackathon,2,3,4,4,Poor organization and timing issues
Tech Fest,4,1,5,3,"Amazing experience, learned a lot"
AI Workshop,4,3,2,5,Could be better
Guest Lecture,2,1,3,2,The event was boring
Guest Lecture,4,3,3,1,The event was very informative and engaging
Hackathon,4,4,5,4,"It was fine, nothing special"
Hackathon,4,5,1,4,"It was fine, nothing special"
Cultural Fest,5,2,3,4,The event was very informative and engaging
AI Workshop,1,2,3,1,Not worth attending
Guest Lecture,4,2,4,3,Loved the content and interaction
Cultural Fest,5,2,4,2,"Amazing experience, learned a lot"
Cultural Fest,5,2,2,2,Excellent organization and great speakers
Tech Fest,3,1,1,4,"It was fine, nothing special"
Hackathon,3,3,5,3,Could be better
Hackathon,5,2,5,3,"Amazing experience, learned a lot"
Tech Fest,4,5,4,4,"Amazing experience, learned a lot"
Hackathon,2,2,4,1,Poor organization and timing issues
Tech Fest,4,1,2,4,Decent event overall
Guest Lecture,5,3,2,5,Loved the content and interaction
Guest Lecture,5,3,3,2,Loved the content and interaction
AI Workshop,5,3,4,3,Excellent organization and great speakers
Guest Lecture,4,2,1,3,"Amazing experience, learned a lot"
Hackathon,4,2,2,2,Could be better
Hackathon,4,4,2,5,The event was very informative and engaging
AI Workshop,5,3,5,5,Loved the content and interaction
Tech Fest,4,2,3,4,The event was very informative and engaging
AI Workshop,4,3,3,3,The event was okay
Tech Fest,5,4,1,3,Loved the content and interaction
Guest Lecture,1,5,5,2,Not worth attending
AI Workshop,2,5,4,4,Audio and seating arrangements were bad
Hackathon,2,2,2,3,The event was boring
Tech Fest,5,1,2,3,"Amazing experience, learned a lot"
AI Workshop,5,5,4,3,Loved the content and interaction
Hackathon,2,2,2,1,Audio and seating arrangements were bad
Tech Fest,5,2,2,4,Excellent organization and great speakers
Guest Lecture,5,1,1,4,The event was very informative and engaging
AI Workshop,4,5,2,1,The event was very informative and engaging
Cultural Fest,4,2,3,4,Decent event overall
Tech Fest,3,1,3,3,Content was average
Guest Lecture,2,4,2,5,The event was boring
Guest Lecture,5,4,5,5,"Amazing experience, learned a lot"
Guest Lecture,5,2,1,4,Loved the content and interaction
Cultural Fest,5,3,1,1,Very well managed and insightful
AI Workshop,5,4,5,1,Excellent organization and great speakers
AI Workshop,4,1,4,3,Decent event overall
Cultural Fest,5,4,5,4,The event was very informative and engaging
Hackathon,5,2,3,1,Excellent organization and great speakers
AI Workshop,5,5,3,4,Excellent organization and great speakers
Cultural Fest,4,3,1,4,The event was very informative and engaging
Cultural Fest,4,3,1,2,"It was fine, nothing special"
Cultural Fest,4,1,3,3,"Amazing experience, learned a lot"
Cultural Fest,4,1,2,1,Very well managed and insightful
AI Workshop,5,4,3,4,Loved the content and interaction
Tech Fest,4,2,1,3,The event was okay
Cultural Fest,4,2,3,4,The event was okay
Hackathon,3,4,2,1,The event was okay
Hackathon,4,4,3,3,The event was very informative and engaging
AI Workshop,4,4,3,2,The event was very informative and engaging
Tech Fest,4,2,4,3,The event was very informative and engaging
Hackathon,4,2,1,1,Loved the content and interaction
AI Workshop,4,1,2,2,Very well managed and insightful
Tech Fest,5,1,3,2,"Amazing experience, learned a lot"
Hackathon,3,2,3,5,The event was okay
Cultural Fest,4,1,4,3,"It was fine, nothing special"
Hackathon,3,4,5,3,"It was fine, nothing special"
Guest Lecture,4,2,5,3,Very well managed and insightful
Guest Lecture,5,5,2,1,Very well managed and insightful
AI Workshop,5,5,3,4,Very well managed and insightful
Cultural Fest,5,1,5,3,"Amazing experience, learned a lot"
Tech Fest,4,5,4,2,Content was average
Guest Lecture,4,3,3,4,Very well managed and insightful
Guest Lecture,3,1,1,2,The event was okay
Tech Fest,4,4,2,1,The event was very informative and engaging
Guest Lecture,5,5,5,3,Very well managed and insightful
Tech Fest,4,2,4,1,Excellent organization and great speakers
Guest Lecture,5,4,3,1,The event was very informative and engaging
Tech Fest,3,3,1,2,"It was fine, nothing special"
Cultural Fest,1,5,4,2,Poor organization and timing issues
Guest Lecture,4,5,4,1,Excellent organization and great speakers
Hackathon,4,4,1,2,Could be better
Guest Lecture,4,3,2,5,Could be better
AI Workshop,2,5,3,3,The event was boring
Guest Lecture,5,2,5,5,Very well managed and insightful
AI Workshop,5,4,4,4,"Amazing experience, learned a lot"
Guest Lecture,5,1,5,2,The event was very informative and engaging
AI Workshop,1,2,2,3,Audio and seating arrangements were bad
Tech Fest,4,1,4,3,Loved the content and interaction
Guest Lecture,5,2,2,3,Loved the content and interaction
Guest Lecture,4,2,1,3,The event was okay
Guest Lecture,4,1,5,3,Content was average
Tech Fest,5,1,3,3,"Amazing experience, learned a lot"
Tech Fest,2,2,5,1,The event was boring
AI Workshop,3,5,1,3,Decent event overall
Guest Lecture,5,2,2,1,Excellent organization and great speakers
Guest Lecture,4,5,5,1,Decent event overall
Cultural Fest,5,2,3,1,Loved the content and interaction
AI Workshop,5,1,4,5,The event was very informative and engaging
Hackathon,4,5,2,4,Excellent organization and great speakers
Guest Lecture,4,5,5,2,"Amazing experience, learned a lot"
AI Workshop,5,5,1,1,Loved the content and interaction
AI Workshop,4,2,3,3,Decent event overall
Cultural Fest,5,3,5,4,The event was very informative and engaging
Cultural Fest,3,2,3,2,Decent event overall
Tech Fest,3,2,5,2,The event was okay
AI Workshop,1,1,3,4,Audio and seating arrangements were bad
Guest Lecture,4,2,2,5,Loved the content and interaction
Guest Lecture,5,2,1,4,Loved the content and interaction
AI Workshop,4,2,1,3,"Amazing experience, learned a lot"
Tech Fest,5,4,1,1,"Amazing experience, learned a lot"
Tech Fest,5,1,3,4,Loved the content and interaction
AI Workshop,4,4,5,5,Very well managed and insightful
Guest Lecture,5,1,1,2,Excellent organization and great speakers
Hackathon,2,4,2,1,Audio and seating arrangements were bad
AI Workshop,5,2,5,3,Loved the content and interaction
Tech Fest,4,5,3,2,"It was fine, nothing special"
Tech Fest,4,4,5,5,Very well managed and insightful
Cultural Fest,2,5,2,4,The speaker was not engaging
Hackathon,2,5,2,2,Not worth attending
Cultural Fest,3,3,5,2,Could be better
AI Workshop,4,1,5,5,Excellent organization and great speakers
AI Workshop,1,2,1,3,Poor organization and timing issues
AI Workshop,2,4,3,2,The event was boring
Cultural Fest,3,1,5,5,The event was okay
Guest Lecture,4,2,2,1,"Amazing experience, learned a lot"
Guest Lecture,4,5,4,3,Very well managed and insightful
Hackathon,5,2,2,2,Very well managed and insightful
AI Workshop,4,4,2,2,Very well managed and insightful
Hackathon,3,5,4,3,The event was okay
Hackathon,2,1,5,4,The speaker was not engaging
Guest Lecture,3,1,4,4,Decent event overall
Guest Lecture,3,5,4,1,The event was okay
Cultural Fest,4,3,4,4,"Amazing experience, learned a lot"
Cultural Fest,2,4,3,5,Audio and seating arrangements were bad
Hackathon,1,4,1,5,Not worth attending
Hackathon,4,4,3,4,"Amazing experience, learned a lot"
Hackathon,4,1,3,3,Very well managed and insightful
Tech Fest,3,1,4,3,Content was average
Hackathon,4,5,4,1,Very well managed and insightful
Cultural Fest,3,2,2,1,"It was fine, nothing special"
AI Workshop,5,2,1,2,Loved the content and interaction
Tech Fest,2,4,4,4,Poor organization and timing issues
Cultural Fest,5,2,5,4,The event was very informative and engaging
Guest Lecture,4,5,1,2,Very well managed and insightful
Tech Fest,1,2,2,1,Audio and seating arrangements were bad
Tech Fest,3,5,5,3,The event was okay
Tech Fest,4,4,2,2,The event was very informative and engaging
Hackathon,3,5,3,1,Could be better
AI Workshop,5,4,1,4,Loved the content and interaction
Hackathon,4,2,1,3,The event was okay
Cultural Fest,4,5,1,1,Very well managed and insightful
Hackathon,4,5,3,4,"Amazing experience, learned a lot"
Guest Lecture,4,5,5,3,"It was fine, nothing special"
Guest Lecture,2,4,4,2,Not worth attending
Cultural Fest,2,1,1,1,The speaker was not engaging
Guest Lecture,4,4,4,1,The event was very informative and engaging
Tech Fest,4,2,3,3,"Amazing experience, learned a lot"
Guest Lecture,4,5,3,1,"It was fine, nothing special"
Hackathon,5,5,5,1,Loved the content and interaction
AI Workshop,4,4,4,1,Content was average
Hackathon,3,5,3,4,Decent event overall
Guest Lecture,3,3,5,3,Decent event overall
Guest Lecture,4,3,3,1,The event was very informative and engaging
AI Workshop,1,4,5,2,Audio and seating arrangements were bad
Guest Lecture,4,1,3,3,Very well managed and insightful
Tech Fest,4,4,2,3,"It was fine, nothing special"
Guest Lecture,4,3,2,1,Loved the content and interaction
Tech Fest,4,4,5,1,The event was very informative and engaging
Cultural Fest,3,3,4,5,Could be better
Tech Fest,4,5,2,2,Loved the content and interaction
Guest Lecture,4,1,1,3,Decent event overall
AI Workshop,1,4,1,1,Not worth attending
Guest Lecture,4,3,2,3,Loved the content and interaction
Guest Lecture,5,3,4,1,Loved the content and interaction
Tech Fest,5,1,5,5,Excellent organization and great speakers
Guest Lecture,5,3,3,2,Excellent organization and great speakers
Cultural Fest,1,1,3,5,Audio and seating arrangements were bad
Tech Fest,2,2,1,4,Not worth attending
Hackathon,1,1,1,4,Poor organization and timing issues
Guest Lecture,5,3,3,3,"Amazing experience, learned a lot"
Hackathon,3,5,2,1,Could be better
Hackathon,3,3,4,4,Decent event overall
Guest Lecture,4,3,3,4,Excellent organization and great speakers
Hackathon,5,4,1,1,Loved the content and interaction
Hackathon,5,2,3,3,Loved the content and interaction
Hackathon,3,1,3,5,Content was average
Hackathon,4,5,4,2,"It was fine, nothing special"
Hackathon,3,4,1,3,Could be better
Hackathon,5,5,3,5,"Amazing experience, learned a lot"
Guest Lecture,3,4,1,5,Content was average
Hackathon,4,2,3,4,Loved the content and interaction
AI Workshop,5,4,1,1,The event was very informative and engaging
Cultural Fest,4,2,4,5,Excellent organization and great speakers
Cultural Fest,5,2,3,3,"Amazing experience, learned a lot"
AI Workshop,5,1,5,1,Loved the content and interaction
Cultural Fest,4,3,1,3,Could be better
Guest Lecture,1,3,1,3,Poor organization and timing issues
Guest Lecture,2,4,3,4,The speaker was not engaging
Cultural Fest,4,4,2,2,Very well managed and insightful
Cultural Fest,5,3,2,2,Loved the content and interaction
Hackathon,4,4,2,1,The event was very informative and engaging
Guest Lecture,5,4,5,2,Very well managed and insightful
Hackathon,5,3,2,2,Very well managed and insightful
Cultural Fest,5,5,3,4,The event was very informative and engaging
Tech Fest,2,1,5,4,Not worth attending
Tech Fest,4,2,5,3,The event was okay
Cultural Fest,4,4,1,5,The event was very informative and engaging
AI Workshop,3,5,1,4,"It was fine, nothing special"
Hackathon,5,3,3,3,Very well managed and insightful
Guest Lecture,5,3,1,4,"Amazing experience, learned a lot"
AI Workshop,4,5,1,3,"Amazing experience, learned a lot"
AI Workshop,4,3,2,5,Excellent organization and great speakers
Tech Fest,4,5,2,5,Loved the content and interaction
Cultural Fest,4,3,2,4,Decent event overall
AI Workshop,4,1,2,5,"Amazing experience, learned a lot"
Hackathon,2,4,2,4,The speaker was not engaging
Guest Lecture,3,3,1,3,Content was average
Cultural Fest,3,4,4,4,The event was okay
Hackathon,4,4,4,3,"Amazing experience, learned a lot"
AI Workshop,4,4,4,3,Very well managed and insightful
Guest Lecture,1,3,4,5,Poor organization and timing issues
AI Workshop,2,3,1,3,Audio and seating arrangements were bad
Cultural Fest,4,5,2,5,Decent event overall
Guest Lecture,5,1,1,1,Excellent organization and great speakers
Hackathon,4,3,2,3,The event was very informative and engaging
Guest Lecture,4,1,1,5,The event was very informative and engaging
Tech Fest,3,1,5,2,Content was average
Tech Fest,4,2,3,3,"Amazing experience, learned a lot"
AI Workshop,5,4,3,3,The event was very informative and engaging
Tech Fest,5,4,4,3,The event was very informative and engaging
Cultural Fest,2,4,1,4,Audio and seating arrangements were bad
Cultural Fest,2,4,1,2,The speaker was not engaging
Guest Lecture,4,1,4,3,Very well managed and insightful
Guest Lecture,4,3,4,1,The event was very informative and engaging
Tech Fest,1,4,3,2,The speaker was not engaging
Guest Lecture,3,4,4,4,Decent event overall
Tech Fest,4,4,4,1,The event was very informative and engaging
AI Workshop,5,4,1,1,Loved the content and interaction
Hackathon,4,3,2,2,Loved the content and interaction
AI Workshop,4,4,1,3,Very well managed and insightful
Cultural Fest,4,1,2,1,Very well managed and insightful
Hackathon,3,4,1,5,Could be better
Tech Fest,4,1,3,1,Decent event overall
Tech Fest,5,2,5,4,The event was very informative and engaging
Guest Lecture,1,2,1,1,Not worth attending
Hackathon,3,5,1,2,Decent event overall
Cultural Fest,3,1,3,1,Content was average
Tech Fest,4,1,4,5,Excellent organization and great speakers
Cultural Fest,3,4,3,4,Content was average
AI Workshop,4,2,1,5,"Amazing experience, learned a lot"
AI Workshop,4,2,4,2,The event was very informative and engaging
Hackathon,3,2,5,1,Could be better
Cultural Fest,5,1,4,1,"Amazing experience, learned a lot"
Guest Lecture,4,3,4,4,Excellent organization and great speakers
AI Workshop,3,5,4,4,Content was average
Guest Lecture,4,2,4,5,Excellent organization and great speakers
Hackathon,2,1,5,2,Audio and seating arrangements were bad
Guest Lecture,4,3,5,5,"Amazing experience, learned a lot"
Tech Fest,5,2,1,2,Excellent organization and great speakers
Cultural Fest,4,2,1,1,Decent event overall
Hackathon,3,3,3,5,"It was fine, nothing special"
Tech Fest,3,1,5,2,Decent event overall
Guest Lecture,5,1,1,2,The event was very informative and engaging
Hackathon,4,2,3,2,Could be better
Tech Fest,3,2,4,2,"It was fine, nothing special"
Hackathon,4,5,4,1,Excellent organization and great speakers
Guest Lecture,1,4,2,4,The speaker was not engaging
AI Workshop,4,3,2,3,Very well managed and insightful
AI Workshop,4,2,1,4,"Amazing experience, learned a lot"
Cultural Fest,5,3,5,2,Excellent organization and great speakers
Guest Lecture,3,5,2,1,Could be better
Cultural Fest,5,5,4,4,"Amazing experience, learned a lot"
Cultural Fest,4,3,4,5,Very well managed and insightful
Guest Lecture,4,1,4,1,"Amazing experience, learned a lot"
Hackathon,4,5,4,4,Very well managed and insightful
Hackathon,4,2,1,5,The event was okay
Cultural Fest,3,3,3,2,Decent event overall
Hackathon,3,3,2,4,The event was okay
Hackathon,1,4,2,4,Not worth attending
Tech Fest,5,1,4,3,Loved the content and interaction
AI Workshop,5,5,5,5,Loved the content and interaction
Tech Fest,4,5,3,1,The event was okay
Guest Lecture,5,1,3,3,Loved the content and interaction
Guest Lecture,4,2,2,3,"Amazing experience, learned a lot"
Guest Lecture,5,2,2,3,The event was very informative and engaging
AI Workshop,5,1,1,3,Loved the content and interaction
Hackathon,4,5,5,3,Very well managed and insightful
Cultural Fest,4,4,1,1,Loved the content and interaction
Tech Fest,5,1,2,3,Excellent organization and great speakers
Cultural Fest,5,2,5,1,Excellent organization and great speakers
Hackathon,4,3,4,4,"Amazing experience, learned a lot"
Cultural Fest,4,1,1,2,The event was okay
Hackathon,4,5,3,3,Could be better
Hackathon,5,3,5,2,"Amazing experience, learned a lot"
AI Workshop,1,2,4,3,Audio and seating arrangements were bad
AI Workshop,1,3,4,2,Poor organization and timing issues
Cultural Fest,4,2,2,2,Content was average
Guest Lecture,5,2,4,3,The event was very informative and engaging
AI Workshop,4,3,2,3,Excellent organization and great speakers
Tech Fest,5,1,4,4,Excellent organization and great speakers
Cultural Fest,4,1,5,5,Decent event overall
AI Workshop,5,5,2,5,Loved the content and interaction
Tech Fest,4,4,1,2,Decent event overall
Tech Fest,4,4,5,2,The event was okay
Tech Fest,5,5,2,5,The event was very informative and engaging
Tech Fest,4,1,5,4,Loved the content and interaction
Cultural Fest,4,4,3,5,The event was okay
Hackathon,4,2,4,3,The event was okay
AI Workshop,5,3,3,4,The event was very informative and engaging
Hackathon,1,4,4,3,Poor organization and timing issues
Cultural Fest,5,5,5,1,Very well managed and insightful
Guest Lecture,5,3,1,5,Loved the content and interaction
Hackathon,3,3,4,2,The event was okay
Cultural Fest,4,2,4,3,"Amazing experience, learned a lot"
Guest Lecture,5,3,4,5,The event was very informative and engaging
Tech Fest,3,2,3,3,Content was average
AI Workshop,1,4,2,4,The event was boring
Tech Fest,1,3,4,1,The speaker was not engaging
Guest Lecture,5,4,3,4,Loved the content and interaction
Guest Lecture,2,5,1,3,Poor organization and timing issues
AI Workshop,4,4,2,3,The event was very informative and engaging
